eng	fra
I have a wife.	J'ai une femme.
I messed up.	J'ai dégueulassé.
Can you try?	Pouvez-vous essayer ?
I don't get it.	Je ne comprends pas.
Does it matter?	Cela a-t-il de l'importance ?
They saved us.	Elles nous ont sauvés.
We're starving.	Nous mourons de faim.
You're bright.	Tu es brillant.
Wait a sec.	Attends une seconde !
Tell me frankly.	Dis-le-moi franchement.
No one escaped.	Personne n'en réchappa.
I must go alone.	Il faut que je m'y rende seule.
We're in love.	Nous sommes amoureuses.
He is eight.	Il a huit ans.
Is he breathing?	Respire-t-il ?
What are those?	Que sont ceux-ci ?
Don't push it.	Ne le pousse pas !
I must protest.	Il me faut protester.
I don't get it.	Je ne capte pas.
Tom is packing.	Tom fait ses bagages.
We must speak.	Il nous faut parler.
Be patient.	Sois patient.
I need a coat.	Il me faut un manteau.
Tom is a moron.	Tom est un idiot.
You were mine.	Tu étais à moi.
We're standing.	Nous sommes debout.
I was stunned.	J'étais sciée.
I'm impulsive.	Je suis impulsive.
Tom's arrived.	Tom est arrivé.
I ran home.	J'ai couru à la maison.
They're bad.	Ils sont mauvais.
This is theirs.	Ce sont les leurs.
She loves Tom.	Elle est amoureuse de Tom.
Marry me.	Épouse-moi !
We're sloshed.	Nous sommes bourrées.
It's on fire.	C'est déchaîné.
I think I agree.	Je pense être d'accord.
Do you read me?	M'entendez-vous ?
Those are nice.	Ceux-là sont chouettes.
We'll try.	Nous tenterons.
Deal me out.	Ne compte pas sur moi.
Please sit.	Asseyez-vous, je vous prie.
Did you go out?	Êtes-vous sortis ?
I usually walk.	Habituellement je me déplace à pied.
It's vibrating.	Ça vibre.
I was there.	J'y étais.
I made cookies.	J'ai confectionné des biscuits.
I started it.	Je l'ai démarré.
That car is his.	Cette voiture est la sienne.
Is it important?	Est-ce grave ?
She tied him up.	Elle le ligota.
We like it.	Nous l'apprécions.
I fed the dog.	J'ai donné à manger à la chienne.
Live and learn.	Vis et apprends.
It won't hurt.	Cela ne va pas faire mal.
This is hers.	Ce sont les siens.
I weighed it.	Je l'ai pesé.
I heard a thud.	J'ai entendu un bruit sourd.
Is that true?	C'est vrai ?
I'm addicted.	Je suis accro.
I need caffeine.	Il me faut de la caféine.
It's urgent.	C'est urgent.
I want more.	J'en veux davantage.
It's cool today.	Il fait frais aujourd'hui.
My eyes hurt.	J'ai mal aux yeux.
Use this.	Employez ceci !
I got expelled.	J'ai été expulsé.
They all died.	Elles sont toutes mortes.
Give me a break.	Lâchez-moi !
How's it going?	Comment cela se passe-t-il ?
Make your move.	Faites votre mouvement.
I'm very lazy.	Je suis très paresseux.
He dug a hole.	Il a creusé un trou.
I'll treat you.	Je t'inviterai.
I'm a singer.	Je suis chanteur.
Can it wait?	Cela peut-il attendre ?
I put my hat on.	J'ai mis mon chapeau.
She is stubborn.	Elle est obstinée.
No, he didn't.	Non, il ne l'a pas fait.
Cook for me.	Cuisinez pour moi.
I let them go.	Je les ai laissées s'en aller.
I turned right.	Je tournai à droite.
Enjoy your food.	Bon appétit !
I am not deaf.	Je ne suis pas sourd.
Excuse me.	Excuse-moi.
Am I early?	Suis-je en avance ?
Tom's deaf.	Tom est sourd.
It is Saturday.	C'est samedi.
I don't want it.	Je n'en veux pas.
It is 7:30.	Il est sept heures trente.
I'd like a fork.	J'aimerais une fourchette.
I'm through.	J'en ai terminé.
I'm not ashamed.	Je n'ai pas honte.
I was alone.	Je me trouvais seule.
We can't do it.	Nous ne sommes pas en mesure de le faire.
Let's drink.	Buvons !
I want eggs.	Je veux des œufs.
I swore.	J’ai promis.
Please come in.	Entrez s'il vous plaît.
It's almost six.	C'est presque six heures.
I'm getting old.	Je commence à devenir vieux.
I'm so sorry.	Je suis tellement désolé !
We need money.	Nous avons besoin d'argent.
May I come in?	Puis-je entrer ?
I love my mom.	J'aime ma maman.
You're weird.	Tu es bizarre.
You don't say.	Vraiment ?
I liked that.	J'ai aimé ça.
I've got eyes.	Je suis pourvu d'yeux.
I want a raise.	Je veux une augmentation.
Be a good girl.	Soyez une chic fille !
Cut it in half.	Coupe-le en deux.
I'm mad at you.	Je suis en colère après vous.
He is a DJ.	Il est DJ.
Do we have time?	Avons-nous le temps ?
Well done, Tom.	Bravo, Tom.
Come back here.	Revenez ici !
I lay on my bed.	J'étais étendu sur mon lit.
We're ready.	Nous sommes prêtes.
We're fine.	Nous allons bien.
I smell coffee.	Je sens le café.
Are you ready?	Prêtes ?
Be discreet.	Soyez discrets !
Here it is.	Tenez.
I want to run.	Je veux courir.
They're brave.	Elles sont courageuses.
Don't fret.	Ne vous tracassez pas.
Is it genuine?	Est-ce véritable ?
I loved it.	J'adorais ça.
I like winter.	J'aime l'hiver.
I don't gossip.	Je ne ragote pas.
